지역,대통합민주신당 정동영,한나라당 이명박,민주노동당 권영길,민주당 이인제,창조한국당 문국현,참주인연합 정근모,겅제공화당 허경영,새시대참사람연합 전관,한국사회당 금민,무소속 이회창
충북 청원군,18173,25120,2309,874,3893,65,275,39,92,15678
충북 영동군,7113,11464,1170,363,1033,34,96,12,45,5502
충북 보은군,6978,6880,726,368,781,15,88,15,23,3729
충북 옥천군,9178,9731,1160,507,1252,36,116,22,63,6540
충북 음성군,10210,16303,1823,602,1948,51,194,31,38,8161
충북 진천군,7549,10792,1446,432,1315,23,142,14,30,5862
충북 괴산군,4786,8404,1163,377,742,27,38,10,44,4787
충북 증평군,3603,5037,408,186,740,8,72,12,20,3691
충남 천안시,47217,90229,8381,2093,14876,196,972,65,218,58549
충남 공주시,13301,16936,1639,1378,2732,54,262,37,78,23789
충남 보령시,10172,16630,1686,1217,1972,85,190,40,79,19876
충남 아산시,18665,35318,5331,1023,5165,67,477,28,122,27337
충남 서산시,14056,26335,2648,1263,3285,57,350,41,69,20533
충남 태안군,7355,11033,927,723,1331,41,137,28,53,9836
충남 금산군,8063,9005,809,1202,956,41,115,27,42,7954
충남 연기군,10525,11585,1042,705,1943,74,192,31,50,15084
충남 논산시,17311,17467,1776,6964,2317,79,236,68,67,14230
충남 계룡시,3808,7639,308,284,1105,9,60,14,14,3873
충남 부여군,8562,11784,1469,2183,1417,52,141,64,75,13634
충남 서천군,8302,9823,1165,939,946,42,95,29,54,10144
충남 홍성군,6891,13117,1174,651,1497,39,157,27,56,20133
충남 청양군,3172,4926,538,593,514,23,70,14,37,8606
충남 예산군,4350,9487,753,283,825,22,119,25,51,32227
충남 당진군,11249,22379,2486,1091,2502,53,241,30,66,18454
전북 전주시완산구,140317,16560,2368,1033,6064,95,367,19,62,6392
전북 전주시덕진구,111433,12304,2839,718,4877,58,330,16,49,5061
전북 군산시,96750,14338,3354,753,4050,95,191,17,49,5203
전북 익산시,120624,15429,3235,1360,4571,96,291,34,78,5407
전북 정읍시,54890,4835,1231,359,1291,25,100,16,36,1973
전북 남원시,42232,3299,613,331,856,18,56,14,38,1629
전북 김제시,46019,4250,772,419,1090,29,75,16,36,1675
전북 완주군,36557,3500,1292,356,1016,31,91,16,40,1550
전북 진안군,13276,1240,234,136,319,14,38,13,15,616
전북 무주군,11305,1641,277,118,315,12,37,7,10,789
전북 장수군,11614,1151,309,104,227,2,29,12,15,602
전북 임실군,16454,1276,200,184,250,13,21,17,20,775
전북 순창군,17343,771,248,76,149,12,20,9,15,477
전북 고창군,28901,2308,533,249,559,26,51,19,36,1237
전북 부안군,29521,3247,634,354,939,64,80,45,39,1244
전남 목포시,83225,9604,2164,1518,3800,64,200,19,64,3255
전남 여수시,109765,13489,3047,2197,5159,82,402,37,70,4838
전남 순천시,97384,12177,3102,1995,5283,72,263,37,65,4851
전남 나주시,41506,3920,1204,1713,1426,35,108,37,37,1500
전남 광양시,43204,9013,2031,1130,3085,51,201,14,24,3736
전남 담양군,23872,1974,436,519,665,28,55,13,24,992
전남 장성군,22841,2500,411,589,898,184,77,19,17,1029
전남 곡성군,15521,1247,618,480,348,17,40,17,12,654
전남 구례군,12480,1448,539,370,375,17,44,6,15,656
전남 고흥군,34207,4003,658,2401,870,22,54,28,35,1491
전남 보성군,20610,3213,744,1033,867,32,68,17,42,1056
전남 화순군,28138,2632,1099,923,1214,18,75,22,38,1261
전남 장흥군,19730,2216,960,884,939,60,149,39,29,986
전남 강진군,16564,2265,689,673,601,19,44,14,22,976
전남 완도군,24615,2132,511,1171,613,26,45,18,21,977
전남 해남군,35193,3535,1176,1782,1259,67,99,43,42,1487
전남 진도군,15164,1598,344,413,412,14,33,9,16,614
전남 영암군,24145,3031,1136,687,886,20,61,15,17,967
전남 무안군,26267,2703,727,859,757,35,51,16,29,927
전남 영광군,25768,2466,861,471,796,32,49,55,83,1204
전남 함평군,17937,1643,305,640,526,17,37,27,20,648
전남 신안군,19173,2025,416,626,510,26,24,15,21,685
경북 포항시북구,6757,118169,2678,148,3852,37,204,18,54,8143
경북 포항시남구,8910,108775,3355,248,4433,45,291,22,72,9754
경북 울릉군,554,4342,99,14,162,4,25,0,5,588
경북 경주시,8968,107948,6366,342,4498,59,396,38,100,16157
경북 김천시,4707,50908,1533,234,2882,38,229,29,76,13631
경북 안동시,6599,59978,2829,222,3256,90,328,46,119,15854
경북 구미시,12743,114803,4386,381,8233,58,752,31,96,30175
경북 영주시,4704,43029,1813,229,2212,45,205,31,105,10694
경북 영천시,4348,44263,1499,244,1768,97,216,78,159,7326
경북 상주시,4321,44152,1712,251,1483,49,287,40,88,9508
경북 문경시,2834,30867,856,158,1010,20,149,23,53,6612
경북 예천군,2282,20464,880,101,700,26,91,14,51,4774
경북 경산시,7775,79438,3164,231,4669,52,355,32,76,21393
경북 청도군,1885,20077,726,130,930,60,197,138,47,4903
