지역,선거인수,투표수,한나라당 이회창,새천년민주당 노무현,하나로국민연합 이한동,민주노동당 권영길,사회당 김영규,호국당 김길수,계,무효,기권
충남 예산군,74545,53100,37572,12965,152,1349,31,128,52197,903,21445
충남 서산시,106532,69213,26634,36292,431,4321,111,405,68194,1019,37319
충남 태안군,50803,32933,12140,18157,216,1528,63,231,32335,598,17870
충남 당진군,88547,58341,23255,30486,339,3124,74,284,57562,779,30206
전북 전주시완산구,235457,179812,10580,165652,249,2056,89,271,178897,915,55645
전북 전주시덕진구,197761,150526,8862,138057,214,2302,65,234,149734,792,47235
전북 군산시,197371,141850,9729,128150,248,2340,69,350,140886,964,55521
전북 익산시,234783,170715,10761,155186,340,2609,94,419,169409,1306,64068
전북 정읍시,104529,77016,3772,70652,210,941,69,479,76123,893,27513
전북 남원시,75135,57125,3267,51764,146,619,64,474,56334,791,18010
전북 김제시,86559,64932,3922,58933,185,733,53,323,64149,783,21627
전북 완주군,65311,48703,2859,43815,136,1040,51,337,48238,465,16608
전북 진안군,24052,18200,1359,15928,75,272,35,263,17932,268,5852
전북 무주군,21936,16700,1746,14097,62,271,16,188,16380,320,5236
전북 장수군,20891,16753,1122,14330,239,408,60,175,16334,419,4138
전북 임실군,28467,21735,1350,19236,80,268,34,370,21338,397,6732
전북 순창군,26037,20038,1159,17848,67,247,32,324,19677,361,5999
전북 고창군,54115,40466,2192,36477,142,372,43,594,39820,646,13649
전북 부안군,54731,40173,2654,35928,112,426,43,386,39549,624,14558
전남 목포시,170799,128587,3725,122517,162,1034,57,234,127729,858,42212
전남 여수시,224786,167548,7060,155802,287,2298,102,614,166163,1385,57238
전남 순천시,186105,144944,5891,135391,239,1522,91,484,143618,1326,41161
전남 나주시,79875,62258,2270,57903,191,575,55,380,61374,884,17617
전남 광양시,92134,71281,6871,62065,113,1415,32,210,70706,575,20853
전남 담양군,41372,32649,1328,30132,80,308,49,278,32175,474,8723
전남 장성군,41302,32124,1696,29344,93,259,33,233,31658,466,9178
전남 곡성군,29424,23236,1166,20901,76,343,18,272,22776,460,6188
전남 구례군,25099,19589,1061,17816,90,186,17,107,19277,312,5510
전남 고흥군,74559,56175,3225,50793,179,372,48,467,55084,1091,18384
전남 보성군,45523,35627,1755,32523,119,283,39,280,34999,628,9896
전남 화순군,59060,45061,1645,41931,106,368,63,310,44423,638,13999
전남 장흥군,38425,29879,1420,27205,103,241,33,311,29313,566,8546
전남 강진군,36161,27474,1761,24650,104,289,29,170,27003,471,8687
전남 완도군,49063,37732,1470,34814,114,272,27,293,36990,742,11331
전남 해남군,71307,53580,2325,49256,166,417,65,381,52610,970,17727
전남 진도군,31100,23326,975,21318,92,169,32,221,22807,519,7774
전남 영암군,48307,37095,2122,33155,113,889,48,166,36493,602,11212
전남 무안군,51333,38995,1518,36244,113,273,35,254,38437,558,12338
전남 영광군,50884,38902,1620,35737,100,297,50,529,38333,569,11982
전남 함평군,33865,26052,917,24108,96,211,32,218,25582,470,7813
전남 신안군,40626,29397,1253,26901,94,194,33,295,28770,627,11229
경북 포항시북구,180122,128625,94867,26445,178,5498,110,156,127254,1371,51497
경북 포항시남구,186994,132145,92745,30547,198,6862,98,206,130656,1489,54849
경북 울릉군,7502,5678,4176,1254,11,116,5,17,5579,99,1824
경북 경주시,211302,149108,106346,30646,308,9268,137,235,146940,2168,62194
경북 김천시,110695,80907,61683,14925,184,2408,77,150,79427,1480,29788
경북 안동시,136200,97141,69462,20869,276,4350,121,234,95312,1829,39059
경북 구미시,234687,161533,113392,37058,247,8988,88,227,160000,1533,73154
경북 영주시,95379,69933,51660,13956,157,2697,87,169,68726,1207,25446
경북 영천시,89586,62230,44091,14481,135,2200,58,112,61077,1153,27356
경북 상주시,92745,69896,53037,12368,261,2033,75,170,67944,1952,22849
경북 문경시,65025,47387,36121,8625,110,1319,40,125,46340,1047,17638
경북 예천군,45147,34043,24713,6872,95,1126,40,118,32964,1079,11104
경북 경산시,158136,109326,80763,22784,155,4219,69,112,108102,1224,48810
경북 청도군,40967,30198,22489,5842,159,764,35,84,29373,825,10769
경북 고령군,28524,20949,15034,4505,58,646,24,55,20322,627,7575
경북 성주군,39305,29109,21669,5765,90,757,32,78,28391,718,10196
경북 군위군,24673,18578,13509,3688,46,603,15,71,17932,646,6095
경북 칠곡군,75355,52728,37026,12210,94,2524,31,82,51967,761,22627
경북 의성군,58617,44141,32017,9030,135,1683,54,120,43039,1102,14476
경북 청송군,25998,19473,12984,5050,76,799,27,59,18995,478,6525
경북 영덕군,39103,28390,20455,6006,74,880,26,84,27525,865,10713
경북 영양군,17449,12987,8457,3455,49,560,17,47,12585,402,4462
경북 봉화군,32179,23910,16429,5196,123,1220,47,122,23137,773,8269
경북 울진군,48595,35249,23321,9781,113,1002,31,103,34351,898,13346
경남 창원시,341426,250750,153553,72089,260,23014,147,210,249273,1477,90676
경남 마산시,317379,229109,165980,50773,265,9963,122,256,227359,1750,88270
경남 진주시,243912,182190,134973,37308,234,7077,128,256,179976,2214,61722
경남 진해시,102082,76359,51220,20837,105,3385,56,126,75729,630,25723
경남 통영시,98892,67060,49262,14274,173,1989,51,137,65886,1174,31832
경남 고성군(경남),47892,33658,23550,7873,203,1091,35,86,32838,820,14234
경남 사천시,87706,63215,45517,14171,116,2269,50,96,62219,996,24491
경남 김해시,261983,183437,102524,72255,198,6665,106,214,181962,1475,78546
경남 밀양시,92333,66953,45565,17583,153,2028,54,158,65541,1412,25380
경남 거제시,124231,87702,51795,26285,176,8061,72,139,86528,1174,36529
경남 의령군,26984,20526,14265,4469,69,710,33,60,19606,920,6458
경남 함안군,49443,36278,24924,8891,72,1506,29,72,35494,784,13165
경남 창녕군,54742,40488,27062,10813,108,1273,47,123,39426,1062,14254
경남 양산시,144970,97835,61399,30998,150,4221,83,157,97008,827,47135
경남 하동군,44798,34173,21695,9812,116,1164,33,124,32944,1229,10625
경남 남해군,45093,33767,22936,8494,92,1018,30,74,32644,1123,11326
경남 함양군,34904,26276,17875,6605,83,744,38,101,25446,830,8628
경남 산청군,31969,24236,17011,4936,67,1306,30,50,23400,836,7733
경남 거창군,51311,38629,27147,8905,90,1247,49,89,37527,1102,12682
경남 합천군,46994,35392,25311,7271,102,1122,31,101,33938,1454,11602
제주 제주시,198820,136002,55892,73679,315,4609,128,250,134873,1129,62818
제주 북제주군,74769,51969,20345,28501,168,1474,70,316,50874,1095,22800
제주 서귀포시,61099,41151,15077,24026,118,1288,30,159,40698,453,19948
제주 남제주군,56463,39105,14430,22217,143,1248,60,256,38354,751,17358
