시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,587,582,56,0,4,0,0,0,4,3,0,1
서울특별시,408,616,42,0,10,0,0,1,2,1,0,0
서울특별시,458,883,49,1,8,0,1,1,1,3,0,1
서울특별시,1556,2121,92,0,8,1,1,1,0,2,1,0
서울특별시,457,1021,56,2,5,0,0,1,1,0,1,0
서울특별시,352,1386,59,0,5,0,0,1,0,0,0,0
서울특별시,663,966,87,0,7,0,0,1,0,0,0,0
서울특별시,350,1474,28,0,5,0,0,0,0,1,0,0
서울특별시,417,895,33,0,9,0,0,0,3,0,0,0
서울특별시,1990,4700,102,1,7,2,0,0,1,2,1,0
서울특별시,295,1607,41,0,5,0,1,0,3,0,0,0
서울특별시,512,1663,60,0,9,0,0,2,0,0,0,1
서울특별시,323,1376,30,2,4,0,3,0,0,0,0,0
서울특별시,477,1412,58,0,3,0,1,4,0,2,1,0
서울특별시,69,631,8,0,1,0,0,0,1,0,0,0
서울특별시,943,1063,40,0,9,0,0,0,3,2,0,1
서울특별시,261,531,25,0,8,0,0,1,1,1,0,0
서울특별시,239,574,13,0,2,0,4,0,2,0,0,0
서울특별시,512,856,32,2,4,0,1,0,0,1,0,0
서울특별시,810,936,57,1,8,1,0,0,0,0,0,0
서울특별시,419,963,33,0,10,0,0,1,0,1,0,0
서울특별시,288,542,30,2,7,1,0,0,0,1,0,0
서울특별시,972,1076,51,2,8,1,0,1,0,0,0,0
서울특별시,360,641,36,2,8,0,1,1,7,1,1,0
서울특별시,379,572,37,0,9,0,0,0,1,2,1,2
서울특별시,273,501,30,1,5,1,0,0,0,0,1,0
서울특별시,1588,2046,88,4,4,0,0,2,2,1,0,1
서울특별시,434,946,36,0,12,0,0,0,0,0,0,0
서울특별시,359,482,32,0,6,1,0,0,0,2,0,1
서울특별시,325,1462,25,0,5,0,0,2,1,0,0,0
서울특별시,363,993,34,0,5,0,0,1,1,0,0,1
서울특별시,334,557,37,0,12,0,0,1,2,1,0,0
서울특별시,889,1217,42,0,9,1,0,0,0,0,0,0
서울특별시,383,902,41,0,15,1,0,0,1,0,0,1
서울특별시,278,481,23,1,10,0,0,0,1,0,0,1
서울특별시,186,1520,17,1,5,0,0,4,0,0,0,1
서울특별시,186,442,8,0,2,0,0,1,0,0,0,0
서울특별시,1827,1931,91,1,19,1,0,0,1,2,0,3
서울특별시,426,577,33,0,10,0,0,2,0,0,0,1
서울특별시,438,496,42,1,8,2,0,0,0,0,0,0
서울특별시,480,663,42,1,15,1,0,0,1,0,1,1
서울특별시,383,539,23,0,7,0,0,0,4,1,0,0
서울특별시,1614,1464,60,0,10,0,0,0,3,3,0,0
서울특별시,358,461,24,0,6,0,0,0,1,0,1,0
서울특별시,696,871,38,1,11,2,0,0,2,0,1,1
서울특별시,657,1101,50,2,7,0,0,1,2,1,0,0
서울특별시,344,712,30,0,2,0,0,0,0,0,1,0
서울특별시,2444,2108,96,6,11,1,1,0,0,1,0,3
서울특별시,702,1024,53,0,9,0,1,0,4,5,1,1
서울특별시,696,827,44,0,9,2,0,0,1,1,0,0
서울특별시,680,855,51,2,12,0,0,0,2,0,2,2
서울특별시,523,952,41,1,4,0,0,0,0,1,0,0
서울특별시,500,893,35,0,9,0,0,0,2,0,0,0
서울특별시,2093,1962,87,0,16,1,0,0,0,4,0,3
서울특별시,259,510,19,1,9,0,0,0,0,1,0,0
서울특별시,474,919,39,2,7,1,0,0,1,1,0,0
서울특별시,462,678,26,1,10,0,0,2,1,1,1,2
서울특별시,439,980,22,0,8,0,1,3,1,1,0,0
