지역,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬
경북 청송군,3716,14268,298,16,155,5,4,4,48,32,52,13
경북 영양군,2855,8968,208,11,68,5,1,9,19,11,35,11
경북 영덕군,4342,20611,310,16,184,17,3,7,44,21,46,23
경북 봉화군,5252,16451,361,15,209,7,9,10,49,24,76,22
경북 울진군,6888,25287,476,21,266,12,7,10,66,40,50,41
경남 창원시의창구,52289,82914,3805,68,1874,55,18,30,141,275,52,69
경남 창원시성산구,67177,93082,5428,70,1920,65,30,37,145,267,51,86
경남 창원시마산합포구,37657,77518,2618,48,1469,33,20,31,143,154,68,60
경남 창원시마산회원구,41527,77282,2911,87,1657,31,21,16,136,200,36,57
경남 창원시진해구,45890,66298,3075,53,1956,41,21,36,90,214,46,74
경남 진주시,74975,141433,5578,105,2573,76,40,33,184,500,125,138
경남 통영시,26387,49772,1573,42,1151,22,14,19,89,146,71,50
경남 고성군,10348,22213,645,25,495,14,11,12,43,47,51,31
경남 사천시,23424,44656,1581,34,926,25,13,16,65,147,65,64
경남 김해시,150338,160401,8587,162,4534,75,48,67,251,418,106,171
경남 밀양시,21906,44881,1457,37,848,27,11,22,74,136,55,63
경남 거제시,64355,71772,4186,84,2810,73,52,25,122,323,79,102
경남 의령군,5396,12625,349,22,190,9,6,7,25,74,47,47
경남 함안군,13504,26066,921,25,614,23,12,9,60,78,32,33
경남 창녕군,10934,28492,716,37,506,18,7,12,67,79,48,36
경남 양산시,92137,116904,5364,107,3002,57,42,48,169,359,83,126
경남 하동군,11218,18974,723,32,415,15,10,11,34,72,83,59
경남 남해군,10143,18503,676,19,346,21,3,12,29,66,44,46
경남 함양군,8526,16957,528,23,340,17,14,11,39,67,65,29
경남 산청군,7125,16607,464,24,218,9,4,9,34,82,42,28
경남 거창군,11963,27254,895,46,490,19,18,12,42,92,62,52
경남 합천군,6911,22742,511,30,311,24,9,16,62,96,68,52
제주 제주시,157695,122084,10007,189,2496,108,46,80,193,395,159,197
제주 서귀포시,55435,50930,3591,78,1043,38,17,21,78,176,69,113
