지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
경기 의왕시,22793.0,25085.0,12346.0,896.0,71.0,107.0,55.0
경기 군포시,54980.0,59056.0,25556.0,1983.0,143.0,204.0,123.0
경기 시흥시,35284.0,46106.0,28181.0,1121.0,154.0,214.0,158.0
경기 구리시,30956.0,34294.0,21193.0,688.0,113.0,119.0,132.0
경기 남양주시,49081.0,52762.0,42334.0,1102.0,307.0,277.0,331.0
경기 여주군,16079.0,14867.0,22272.0,443.0,199.0,125.0,243.0
경기 오산시,11475.0,14679.0,13068.0,426.0,64.0,93.0,68.0
경기 화성군,27271.0,33867.0,33253.0,1175.0,252.0,239.0,313.0
경기 파주시,36566.0,29122.0,30421.0,638.0,273.0,254.0,356.0
경기 고양시덕양구,71872.0,75339.0,34678.0,2045.0,189.0,281.0,228.0
경기 하남시,23156.0,26217.0,16877.0,487.0,85.0,109.0,90.0
경기 광주군,16975.0,20390.0,20091.0,352.0,130.0,108.0,151.0
경기 포천군,29414.0,23302.0,22338.0,482.0,277.0,202.0,372.0
경기 연천군,11147.0,9541.0,10348.0,207.0,88.0,78.0,173.0
경기 양평군,15036.0,12043.0,18318.0,326.0,204.0,151.0,298.0
경기 가평군,10570.0,8699.0,12281.0,223.0,158.0,89.0,194.0
경기 이천시,27314.0,27099.0,33487.0,860.0,207.0,168.0,264.0
경기 용인시,53141.0,57844.0,43985.0,1412.0,320.0,319.0,307.0
경기 안성군,21908.0,24995.0,22558.0,716.0,210.0,204.0,269.0
경기 김포군,23652.0,21792.0,20763.0,502.0,122.0,114.0,199.0
강원 춘천시갑,27986.0,16455.0,19147.0,701.0,205.0,154.0,247.0
강원 춘천시을,29590.0,17143.0,18864.0,815.0,196.0,192.0,221.0
강원 원주시갑,27457.0,18471.0,20143.0,1163.0,177.0,115.0,203.0
강원 원주시을,27052.0,18356.0,21152.0,864.0,232.0,139.0,289.0
강원 강릉시갑,32166.0,10244.0,12431.0,581.0,171.0,88.0,239.0
강원 강릉시을,37339.0,12512.0,13008.0,624.0,167.0,70.0,241.0
강원 동해시,28099.0,10581.0,14077.0,497.0,157.0,82.0,213.0
