지역,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬
강원 횡성군,8833.0,10423.0,6479.0,1675.0,1612.0,64.0,8.0,31.0,7.0,37.0,27.0,41.0,44.0
강원 영월군,8067.0,8779.0,5753.0,1532.0,1424.0,40.0,8.0,24.0,12.0,34.0,25.0,47.0,39.0
강원 평창군,8591.0,9348.0,5998.0,1547.0,1588.0,33.0,9.0,26.0,8.0,22.0,34.0,38.0,42.0
강원 화천군,5161.0,5019.0,4000.0,1441.0,1113.0,32.0,8.0,21.0,2.0,14.0,18.0,21.0,41.0
강원 양구군,4526.0,4250.0,3519.0,1287.0,944.0,16.0,7.0,19.0,8.0,19.0,24.0,27.0,40.0
강원 철원군,8998.0,8437.0,7101.0,2225.0,1847.0,42.0,12.0,34.0,10.0,22.0,12.0,16.0,72.0
충북 청주시상당구,42308.0,27108.0,21983.0,6509.0,7306.0,132.0,27.0,60.0,44.0,95.0,63.0,87.0,127.0
충북 청주시서원구,56521.0,30471.0,28912.0,8459.0,9454.0,157.0,30.0,73.0,48.0,103.0,56.0,50.0,114.0
충북 청주시흥덕구,66281.0,31023.0,32756.0,9951.0,11601.0,144.0,40.0,74.0,73.0,123.0,60.0,71.0,188.0
충북 청주시청원구,50487.0,24026.0,24203.0,7285.0,8249.0,114.0,29.0,73.0,34.0,95.0,63.0,67.0,151.0
충북 충주시,43551.0,38532.0,28588.0,7233.0,8115.0,151.0,33.0,85.0,44.0,89.0,88.0,129.0,147.0
충북 제천시,28517.0,26977.0,17768.0,5085.0,5249.0,99.0,19.0,76.0,40.0,64.0,74.0,106.0,135.0
충북 단양군,5708.0,7901.0,4026.0,978.0,964.0,44.0,10.0,18.0,9.0,11.0,49.0,43.0,19.0
충북 영동군,10432.0,10958.0,7017.0,1726.0,1873.0,42.0,18.0,35.0,17.0,50.0,29.0,70.0,77.0
충북 보은군,7268.0,7587.0,4910.0,1015.0,1135.0,38.0,14.0,32.0,14.0,22.0,35.0,65.0,47.0
충북 옥천군,11181.0,10431.0,7465.0,1552.0,1905.0,57.0,23.0,53.0,20.0,51.0,52.0,79.0,67.0
충북 음성군,20723.0,15180.0,13381.0,2988.0,3671.0,76.0,31.0,57.0,27.0,59.0,44.0,72.0,104.0
충북 진천군,15844.0,10265.0,9489.0,2239.0,2925.0,53.0,12.0,36.0,15.0,31.0,21.0,30.0,71.0
충북 괴산군,7876.0,9435.0,5830.0,1063.0,1198.0,29.0,14.0,31.0,19.0,30.0,39.0,55.0,54.0
충북 증평군,8109.0,5608.0,5126.0,1199.0,1450.0,17.0,8.0,19.0,17.0,17.0,13.0,19.0,46.0
충남 천안시서북구,94202.0,37293.0,47891.0,14613.0,16591.0,234.0,40.0,125.0,60.0,119.0,89.0,73.0,209.0
