지역,선거인수,투표수,민주정의당 노태우,통일민주당 김영삼,평화민주당 김대중,신민주공화당 김종필,한주의통일한국당 신종일,계,무효,기권
경남 진주시,129073,116759,45156,63113,3830,2521,294,114914,1845,12314
경남 삼천포시,38581,34081,14133,17678,870,628,110,33419,662,4500
경남 진양군,55213,50453,23207,23973,715,1085,249,49229,1224,4760
경남 사천군,40301,36059,16210,17058,866,709,209,35052,1007,4242
경남 창원시,124578,112949,36217,61410,10141,3758,164,111690,1259,11629
경남 진해시,76089,69536,27302,35742,3557,1864,172,68637,899,6553
경남 의창군,53320,47422,15470,28896,795,846,235,46242,1180,5898
경남 충무시,52531,46007,15155,28409,1134,552,116,45366,641,6524
경남 통영군,35409,30870,11418,17738,238,317,283,29994,876,4539
경남 거제군,92909,82331,14437,59659,5524,1006,391,81017,1314,10578
경남 고성군,54365,47879,17193,27424,667,1020,351,46655,1224,6486
경남 의령군,34643,31275,15942,13231,399,578,199,30349,926,3368
경남 함안군,49472,44657,18742,22190,782,1605,239,43558,1099,4815
경남 합천군,62315,54963,36723,14593,754,894,276,53240,1723,7352
경남 밀양군,93475,83227,38575,39058,1403,2039,409,81484,1743,10248
경남 창녕군,64374,57278,28815,24512,703,1250,449,55729,1549,7096
경남 김해시,49557,43871,16475,22985,2532,1084,95,43171,700,5686
경남 양산군,90880,80671,35578,36903,3964,2214,244,78903,1768,10209
경남 김해군,64261,56584,21649,31323,1307,1029,206,55514,1070,7677
경남 하동군,51534,46035,19386,23047,1413,627,334,44807,1228,5499
경남 남해군,55040,48799,26888,18637,1151,572,198,47446,1353,6241
경남 거창군,55162,49802,22269,23994,1216,656,335,48470,1332,5360
경남 산청군,39174,35727,18892,14364,539,636,238,34669,1058,3447
경남 함양군,41722,38064,19693,14633,971,1335,301,36933,1131,3658
제주 제주시,117400,103909,45396,29864,20896,5649,202,102007,1902,13491
제주 북제주군,64104,55913,31017,13559,7253,2039,198,54066,1847,8191
제주 서귀포시,48001,42915,18578,10677,10320,2102,119,41796,1119,5086
제주 남제주군,51367,45861,25511,10744,6670,1140,164,44229,1632,5506
