지역,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완
강원 인제군,7885.0,3826.0,5777.0,1129.0,106.0,128.0,206.0
강원 원주군,8985.0,4679.0,11589.0,1635.0,198.0,154.0,291.0
강원 횡성군,9070.0,5037.0,11778.0,1646.0,196.0,200.0,294.0
강원 영월군,13782.0,4518.0,9352.0,2104.0,157.0,184.0,382.0
강원 평창군,10592.0,5181.0,9601.0,2079.0,206.0,193.0,352.0
강원 정선군,18606.0,5739.0,10679.0,2245.0,189.0,252.0,524.0
강원 속초시,17456.0,6880.0,12000.0,2443.0,60.0,139.0,366.0
강원 고성군,10053.0,3608.0,7419.0,1156.0,61.0,97.0,218.0
강원 화천군,6519.0,2526.0,4479.0,796.0,55.0,110.0,145.0
강원 철원군,11991.0,5506.0,10370.0,1499.0,115.0,168.0,297.0
충북 청주시,82810.0,64281.0,56891.0,27211.0,1096.0,1049.0,2521.0
충북 충주시,27717.0,14981.0,18341.0,7549.0,262.0,306.0,933.0
충북 중원군,14870.0,9875.0,8979.0,2950.0,290.0,290.0,467.0
충북 제천시,25006.0,10266.0,13293.0,5798.0,176.0,213.0,680.0
충북 청원군,22509.0,19239.0,15319.0,5756.0,495.0,544.0,817.0
충북 영동군,16518.0,8984.0,6866.0,2973.0,229.0,298.0,463.0
충북 보은군,10491.0,8583.0,7773.0,2031.0,286.0,243.0,333.0
충북 옥천군,14959.0,9733.0,8716.0,3312.0,289.0,336.0,451.0
충북 괴산군,20371.0,13428.0,9373.0,3138.0,327.0,326.0,534.0
충북 음성군,15391.0,12690.0,11300.0,3056.0,378.0,360.0,486.0
충북 진천군,8954.0,9840.0,8193.0,2057.0,712.0,238.0,350.0
충북 제천군,9145.0,5227.0,4315.0,1345.0,124.0,192.0,314.0
충북 단양군,12937.0,4616.0,6408.0,1724.0,180.0,173.0,322.0
충남 천안시,34990.0,23679.0,25517.0,9367.0,200.0,497.0,866.0
충남 공주시,11350.0,7100.0,6866.0,2491.0,59.0,178.0,242.0
충남 공주군,18084.0,12333.0,10240.0,2992.0,215.0,381.0,497.0
충남 대천시,9680.0,6028.0,8191.0,1673.0,68.0,294.0,261.0
충남 보령군,14038.0,9641.0,10925.0,2100.0,271.0,772.0,482.0
충남 온양시,11943.0,7516.0,8419.0,2163.0,96.0,134.0,286.0
충남 아산군,17458.0,13917.0,11969.0,3017.0,260.0,372.0,500.0
충남 금산군,14699.0,12026.0,9096.0,2878.0,194.0,384.0,486.0
충남 연기군,17532.0,11069.0,11440.0,4009.0,215.0,309.0,489.0
충남 논산군,26871.0,34968.0,16594.0,5773.0,294.0,776.0,974.0
충남 부여군,25819.0,15874.0,11184.0,3604.0,239.0,1076.0,642.0
충남 서천군,18791.0,14240.0,9597.0,2615.0,190.0,1494.0,541.0
충남 홍성군,20839.0,16146.0,13959.0,3129.0,206.0,490.0,629.0
충남 청양군,10399.0,8028.0,5610.0,1349.0,162.0,351.0,297.0
충남 예산군,23376.0,16993.0,14020.0,3564.0,249.0,536.0,572.0
충남 서산시,8084.0,6497.0,10292.0,1556.0,87.0,146.0,301.0
충남 서산군,13618.0,12829.0,14605.0,2346.0,245.0,421.0,558.0
충남 태안군,13033.0,11042.0,11133.0,1765.0,251.0,322.0,451.0
충남 당진군,20678.0,18904.0,17384.0,3664.0,358.0,527.0,603.0
충남 천안군,20507.0,13091.0,13359.0,4062.0,284.0,439.0,508.0
전북 전주시완산구,6075.0,130676.0,4507.0,1349.0,75.0,367.0,575.0
전북 전주시덕진구,5771.0,133610.0,4398.0,1365.0,56.0,299.0,583.0
전북 군산시,7167.0,93677.0,4178.0,1388.0,52.0,367.0,361.0
전북 이리시,5672.0,101410.0,3415.0,1068.0,43.0,303.0,351.0
전북 정주시,1478.0,35655.0,1101.0,240.0,30.0,196.0,125.0
전북 정읍군,2273.0,44524.0,1064.0,267.0,76.0,480.0,185.0
전북 남원시,2113.0,25956.0,808.0,225.0,24.0,137.0,82.0
전북 남원군,2880.0,29581.0,899.0,221.0,64.0,515.0,172.0
전북 완주군,2938.0,45480.0,1621.0,361.0,63.0,429.0,205.0
전북 진안군,2310.0,21585.0,1139.0,213.0,51.0,347.0,106.0
전북 무주군,3114.0,14931.0,699.0,256.0,39.0,257.0,98.0
전북 장수군,1579.0,16582.0,531.0,146.0,35.0,251.0,84.0
전북 임실군,1777.0,25192.0,992.0,170.0,45.0,370.0,136.0
전북 순창군,1494.0,22530.0,709.0,139.0,54.0,374.0,116.0
전북 고창군,2323.0,46557.0,1704.0,238.0,98.0,751.0,182.0
전북 부안군,3019.0,44457.0,1795.0,287.0,69.0,462.0,192.0
전북 김제시,1411.0,22727.0,928.0,236.0,27.0,146.0,101.0
전북 김제군,2889.0,47398.0,1677.0,342.0,60.0,474.0,220.0
전북 옥구군,2627.0,34829.0,1957.0,309.0,63.0,284.0,143.0
전북 익산군,4265.0,54126.0,1801.0,500.0,63.0,321.0,215.0
전남 목포시,2557.0,115118.0,1484.0,452.0,37.0,260.0,256.0
전남 여수시,3591.0,91521.0,1824.0,698.0,51.0,237.0,273.0
전남 순천시,2771.0,78881.0,1485.0,445.0,28.0,169.0,166.0
전남 나주시,640.0,20332.0,687.0,103.0,5.0,78.0,53.0
전남 나주군,1106.0,49606.0,719.0,162.0,48.0,367.0,125.0
전남 여천시,2412.0,34707.0,1112.0,557.0,14.0,108.0,97.0
전남 여천군,1906.0,38331.0,672.0,181.0,38.0,340.0,112.0
전남 담양군,1170.0,36955.0,577.0,180.0,40.0,345.0,137.0
전남 장성군,947.0,33348.0,668.0,115.0,37.0,280.0,96.0
전남 화순군,1868.0,40052.0,649.0,128.0,49.0,373.0,119.0
전남 곡성군,1119.0,24713.0,866.0,127.0,36.0,327.0,83.0
전남 구례군,1026.0,20708.0,575.0,112.0,27.0,182.0,59.0
전남 승주군,1713.0,41085.0,885.0,148.0,46.0,343.0,144.0
전남 동광양시,5235.0,21335.0,1849.0,1512.0,26.0,95.0,114.0
전남 광양군,2646.0,35998.0,1225.0,399.0,31.0,194.0,131.0
전남 고흥군,4035.0,65850.0,1180.0,179.0,76.0,555.0,160.0
전남 보성군,2519.0,40612.0,1193.0,186.0,49.0,414.0,165.0
전남 장흥군,1321.0,33500.0,1487.0,125.0,47.0,346.0,116.0
전남 강진군,2061.0,30890.0,656.0,144.0,29.0,209.0,73.0
전남 완도군,1600.0,40955.0,1429.0,138.0,37.0,332.0,84.0
전남 해남군,2387.0,59629.0,1007.0,233.0,66.0,417.0,166.0
전남 진도군,1322.0,25921.0,334.0,91.0,22.0,284.0,78.0
전남 영암군,1589.0,36839.0,666.0,149.0,40.0,310.0,102.0
전남 무안군,1501.0,42458.0,1366.0,152.0,37.0,297.0,112.0
전남 영광군,2133.0,42363.0,946.0,270.0,59.0,526.0,114.0
전남 함평군,894.0,31346.0,464.0,126.0,41.0,275.0,103.0
전남 신안군,1291.0,37345.0,681.0,98.0,32.0,347.0,73.0
경북 포항시,97780.0,17304.0,25918.0,14156.0,122.0,399.0,1678.0
경북 경주시,45661.0,6356.0,14359.0,6016.0,101.0,220.0,884.0
경북 김천시,30535.0,3196.0,5641.0,3409.0,53.0,138.0,415.0
경북 금릉군,29534.0,3587.0,4989.0,2719.0,113.0,211.0,500.0
경북 안동시,38333.0,5630.0,8632.0,5378.0,90.0,167.0,767.0
경북 구미시,57955.0,10315.0,17191.0,11423.0,102.0,310.0,991.0
경북 영주시,29054.0,3940.0,5934.0,3915.0,49.0,161.0,486.0
경북 영풍군,22512.0,3126.0,4431.0,2465.0,74.0,174.0,424.0
