시도,구시군,읍면동명,투표구명,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,중구,,약수동제3투,519,1154,52,0,4,0,0,1,4,2,1,0
서울특별시,중구,,약수동제4투,544,1037,51,1,5,0,1,2,1,2,0,0
서울특별시,중구,,약수동제5투,607,567,23,0,13,0,0,0,4,0,1,2
서울특별시,중구,,관내사전투표,1486,1199,70,1,5,1,0,0,1,0,0,1
서울특별시,중구,,청구동제1투,300,290,17,0,7,0,0,0,2,0,0,0
서울특별시,중구,,청구동제2투,305,407,28,0,1,0,0,0,2,0,0,0
서울특별시,중구,,청구동제3투,470,899,28,2,5,0,1,0,0,1,1,1
서울특별시,중구,,청구동제4투,429,540,30,2,8,1,0,0,0,0,0,0
서울특별시,중구,,청구동제5투,615,874,29,2,8,0,1,0,1,0,0,1
서울특별시,중구,,관내사전투표,1718,1335,74,0,10,1,0,0,3,5,0,0
서울특별시,중구,,신당제5동제1투,376,434,28,0,7,0,0,0,2,1,0,1
서울특별시,중구,,신당제5동제2투,573,705,31,0,14,0,0,0,1,2,0,0
서울특별시,중구,,신당제5동제3투,376,472,40,0,3,0,1,0,0,0,2,0
서울특별시,중구,,관내사전투표,1563,1408,77,0,3,0,0,0,0,0,0,1
서울특별시,중구,,동화동제1투,202,303,14,1,3,0,0,0,0,0,1,1
서울특별시,중구,,동화동제2투,351,555,37,1,6,0,0,0,1,0,0,0
서울특별시,중구,,동화동제3투,377,631,31,2,5,0,0,0,1,0,0,0
서울특별시,중구,,동화동제4투,325,383,20,0,6,0,0,0,2,0,0,2
서울특별시,중구,,관내사전투표,1484,1206,71,0,13,0,1,1,1,2,0,0
서울특별시,중구,,황학동제1투,679,851,49,1,9,1,0,0,3,1,0,0
서울특별시,중구,,황학동제2투,464,513,36,1,7,0,1,2,0,1,0,0
서울특별시,중구,,황학동제3투,753,1011,38,0,12,0,1,2,1,0,0,0
서울특별시,중구,,관내사전투표,1375,1209,70,0,8,0,0,0,1,1,0,0
서울특별시,중구,,중림동제1투,488,792,31,0,3,0,0,0,1,2,1,0
서울특별시,중구,,중림동제2투,496,663,36,1,7,0,0,0,1,1,0,0
서울특별시,중구,,중림동제3투,598,859,54,1,14,1,1,0,2,0,0,0
서울특별시,용산구,,관내사전투표,2613,1995,125,2,6,1,0,0,0,2,2,0
서울특별시,용산구,,후암동제1투,643,743,48,0,13,1,0,0,0,1,0,0
서울특별시,용산구,,후암동제2투,513,540,49,0,8,1,0,0,2,3,1,0
서울특별시,용산구,,후암동제3투,515,669,35,0,9,2,0,2,3,1,1,0
서울특별시,용산구,,후암동제4투,569,695,33,1,14,0,0,0,1,1,2,0
서울특별시,용산구,,관내사전투표,1405,1059,93,3,12,1,0,1,0,2,0,1
서울특별시,용산구,,용산2가동제1투,363,469,35,1,8,0,1,0,1,1,0,2
서울특별시,용산구,,용산2가동제2투,285,409,35,0,5,0,0,0,3,0,0,0
서울특별시,용산구,,용산2가동제3투,290,313,26,1,10,0,0,0,0,0,0,0
서울특별시,용산구,,용산2가동제4투,280,327,22,0,7,0,0,4,3,1,0,0
서울특별시,용산구,,관내사전투표,1075,850,68,1,18,2,0,1,0,5,0,0
서울특별시,용산구,,남영동제1투,536,565,42,2,11,0,0,1,2,1,0,0
서울특별시,용산구,,남영동제2투,484,625,32,2,15,0,1,1,2,5,1,1
서울특별시,용산구,,관내사전투표,2098,1388,155,3,17,3,0,1,2,2,0,3
서울특별시,용산구,,청파동제1투,317,415,22,0,6,0,0,0,2,2,1,0
서울특별시,용산구,,청파동제2투,490,422,23,0,9,0,0,0,1,0,1,1
서울특별시,용산구,,청파동제3투,613,485,41,1,8,1,0,0,1,0,0,2
서울특별시,용산구,,청파동제4투,554,695,64,0,9,1,0,0,0,2,0,0
서울특별시,용산구,,청파동제5투,457,537,51,1,6,0,0,0,0,2,3,0
서울특별시,용산구,,청파동제6투,391,443,38,1,10,0,0,2,2,1,0,1
서울특별시,용산구,,관내사전투표,2261,2291,157,2,5,1,0,0,1,3,0,1
서울특별시,용산구,,원효로제1동제1투,658,758,72,1,12,1,0,1,1,2,1,0
서울특별시,용산구,,원효로제1동제2투,462,809,49,1,8,0,0,1,0,0,0,2
서울특별시,용산구,,원효로제1동제3투,361,863,40,0,3,1,0,0,4,0,0,1
서울특별시,용산구,,원효로제1동제4투,362,722,30,0,5,0,0,1,0,0,0,0
서울특별시,용산구,,관내사전투표,1665,1499,84,2,10,0,0,1,0,0,1,1
서울특별시,용산구,,원효로제2동제1투,637,1170,58,1,13,0,1,1,0,1,0,0
서울특별시,용산구,,원효로제2동제2투,462,753,45,0,8,0,1,0,1,0,0,0
서울특별시,용산구,,원효로제2동제3투,570,686,43,0,9,1,2,1,1,2,0,1
서울특별시,용산구,,관내사전투표,1700,1464,100,1,9,1,0,1,0,1,0,0
서울특별시,용산구,,효창동제1투,578,826,44,0,7,0,0,0,1,3,0,1
서울특별시,용산구,,효창동제2투,344,644,35,0,7,0,0,0,0,0,0,0
서울특별시,용산구,,효창동제3투,234,342,14,0,5,0,0,0,1,0,0,0
서울특별시,용산구,,관내사전투표,2011,1642,108,4,20,0,0,0,0,3,1,0
서울특별시,용산구,,용문동제1투,587,582,56,0,4,0,0,0,4,3,0,1
서울특별시,용산구,,용문동제2투,408,616,42,0,10,0,0,1,2,1,0,0
서울특별시,용산구,,용문동제3투,458,883,49,1,8,0,1,1,1,3,0,1
서울특별시,용산구,,관내사전투표,1556,2121,92,0,8,1,1,1,0,2,1,0
서울특별시,용산구,,한강로동제1투,457,1021,56,2,5,0,0,1,1,0,1,0
서울특별시,용산구,,한강로동제2투,352,1386,59,0,5,0,0,1,0,0,0,0
서울특별시,용산구,,한강로동제3투,663,966,87,0,7,0,0,1,0,0,0,0
서울특별시,용산구,,한강로동제4투,350,1474,28,0,5,0,0,0,0,1,0,0
서울특별시,용산구,,한강로동제5투,417,895,33,0,9,0,0,0,3,0,0,0
서울특별시,용산구,,관내사전투표,1990,4700,102,1,7,2,0,0,1,2,1,0
서울특별시,용산구,,이촌제1동제1투,295,1607,41,0,5,0,1,0,3,0,0,0
서울특별시,용산구,,이촌제1동제2투,512,1663,60,0,9,0,0,2,0,0,0,1
서울특별시,용산구,,이촌제1동제3투,323,1376,30,2,4,0,3,0,0,0,0,0
서울특별시,용산구,,이촌제1동제4투,477,1412,58,0,3,0,1,4,0,2,1,0
서울특별시,용산구,,이촌제1동제5투,69,631,8,0,1,0,0,0,1,0,0,0
서울특별시,용산구,,관내사전투표,943,1063,40,0,9,0,0,0,3,2,0,1
서울특별시,용산구,,이촌제2동제1투,261,531,25,0,8,0,0,1,1,1,0,0
서울특별시,용산구,,이촌제2동제2투,239,574,13,0,2,0,4,0,2,0,0,0
서울특별시,용산구,,이촌제2동제3투,512,856,32,2,4,0,1,0,0,1,0,0
서울특별시,용산구,,관내사전투표,810,936,57,1,8,1,0,0,0,0,0,0
서울특별시,용산구,,이태원제1동제1투,419,963,33,0,10,0,0,1,0,1,0,0
서울특별시,용산구,,이태원제1동제2투,288,542,30,2,7,1,0,0,0,1,0,0
서울특별시,용산구,,관내사전투표,972,1076,51,2,8,1,0,1,0,0,0,0
서울특별시,용산구,,이태원제2동제1투,360,641,36,2,8,0,1,1,7,1,1,0
서울특별시,용산구,,이태원제2동제2투,379,572,37,0,9,0,0,0,1,2,1,2
서울특별시,용산구,,이태원제2동제3투,273,501,30,1,5,1,0,0,0,0,1,0
서울특별시,용산구,,관내사전투표,1588,2046,88,4,4,0,0,2,2,1,0,1
서울특별시,용산구,,한남동제1투,434,946,36,0,12,0,0,0,0,0,0,0
서울특별시,용산구,,한남동제2투,359,482,32,0,6,1,0,0,0,2,0,1
서울특별시,용산구,,한남동제3투,325,1462,25,0,5,0,0,2,1,0,0,0
서울특별시,용산구,,한남동제4투,363,993,34,0,5,0,0,1,1,0,0,1
서울특별시,용산구,,한남동제5투,334,557,37,0,12,0,0,1,2,1,0,0
서울특별시,용산구,,관내사전투표,889,1217,42,0,9,1,0,0,0,0,0,0
서울특별시,용산구,,서빙고동제1투,383,902,41,0,15,1,0,0,1,0,0,1
서울특별시,용산구,,서빙고동제2투,278,481,23,1,10,0,0,0,1,0,0,1
서울특별시,용산구,,서빙고동제3투,186,1520,17,1,5,0,0,4,0,0,0,1
서울특별시,용산구,,서빙고동제4투,186,442,8,0,2,0,0,1,0,0,0,0
서울특별시,용산구,,관내사전투표,1827,1931,91,1,19,1,0,0,1,2,0,3
서울특별시,용산구,,보광동제1투,426,577,33,0,10,0,0,2,0,0,0,1
서울특별시,용산구,,보광동제2투,438,496,42,1,8,2,0,0,0,0,0,0
서울특별시,용산구,,보광동제3투,480,663,42,1,15,1,0,0,1,0,1,1
서울특별시,용산구,,보광동제4투,383,539,23,0,7,0,0,0,4,1,0,0
서울특별시,성동구,,관내사전투표,1614,1464,60,0,10,0,0,0,3,3,0,0
서울특별시,성동구,,금호1가동제1투,358,461,24,0,6,0,0,0,1,0,1,0
서울특별시,성동구,,금호1가동제2투,696,871,38,1,11,2,0,0,2,0,1,1
서울특별시,성동구,,금호1가동제3투,657,1101,50,2,7,0,0,1,2,1,0,0
서울특별시,성동구,,금호1가동제4투,344,712,30,0,2,0,0,0,0,0,1,0
서울특별시,성동구,,관내사전투표,2444,2108,96,6,11,1,1,0,0,1,0,3
서울특별시,성동구,,금호2·3가동제1투,702,1024,53,0,9,0,1,0,4,5,1,1
서울특별시,성동구,,금호2·3가동제2투,696,827,44,0,9,2,0,0,1,1,0,0
서울특별시,성동구,,금호2·3가동제3투,680,855,51,2,12,0,0,0,2,0,2,2
서울특별시,성동구,,금호2·3가동제4투,523,952,41,1,4,0,0,0,0,1,0,0
서울특별시,성동구,,금호2·3가동제5투,500,893,35,0,9,0,0,0,2,0,0,0
서울특별시,성동구,,관내사전투표,2093,1962,87,0,16,1,0,0,0,4,0,3
서울특별시,성동구,,금호4가동제1투,259,510,19,1,9,0,0,0,0,1,0,0
서울특별시,성동구,,금호4가동제2투,474,919,39,2,7,1,0,0,1,1,0,0
서울특별시,성동구,,금호4가동제3투,462,678,26,1,10,0,0,2,1,1,1,2
서울특별시,성동구,,금호4가동제4투,439,980,22,0,8,0,1,3,1,1,0,0
서울특별시,성동구,,관내사전투표,2060,2982,114,3,4,3,0,1,0,2,0,0
서울특별시,성동구,,옥수동제1투,575,1219,40,2,7,0,0,0,0,0,0,0
서울특별시,성동구,,옥수동제2투,384,914,42,2,6,0,0,0,4,0,1,0
서울특별시,성동구,,옥수동제3투,568,1080,45,0,6,0,0,0,6,2,0,0
서울특별시,성동구,,옥수동제4투,401,1083,28,1,8,0,2,0,1,1,0,0
서울특별시,성동구,,옥수동제5투,470,938,40,1,9,0,2,1,1,0,2,2
서울특별시,성동구,,옥수동제6투,656,1399,45,2,9,0,0,1,1,1,0,1
서울특별시,성동구,,관내사전투표,2363,2210,90,2,15,0,0,0,2,3,0,0
서울특별시,성동구,,응봉동제1투,597,728,51,2,10,0,0,1,2,0,1,0
서울특별시,성동구,,응봉동제2투,627,1077,60,1,3,0,0,2,1,0,2,1
서울특별시,성동구,,응봉동제3투,616,1067,49,0,11,0,0,1,1,0,0,0
서울특별시,성동구,,관내사전투표,1494,1607,77,1,13,0,0,1,0,3,0,0
서울특별시,성동구,,성수1가제1동제1투,474,579,42,0,12,0,1,0,3,1,0,1
서울특별시,성동구,,성수1가제1동제2투,661,1394,45,1,8,0,0,2,0,0,0,0
서울특별시,성동구,,성수1가제1동제3투,432,973,44,1,5,0,1,0,0,1,1,0
서울특별시,성동구,,성수1가제1동제4투,358,527,45,1,4,0,0,0,1,0,0,0
서울특별시,성동구,,관내사전투표,1895,2133,131,2,14,3,0,0,0,4,1,1
서울특별시,성동구,,성수1가제2동제1투,249,410,30,0,2,0,0,0,0,2,0,0
서울특별시,성동구,,성수1가제2동제2투,189,289,18,1,3,0,0,0,1,1,0,0
서울특별시,성동구,,성수1가제2동제3투,689,897,57,0,12,0,0,0,0,1,0,1
서울특별시,성동구,,성수1가제2동제4투,713,1082,66,1,7,1,0,2,1,1,1,1
서울특별시,성동구,,관내사전투표,2352,2145,114,2,17,0,0,2,0,8,0,1
서울특별시,성동구,,성수2가제1동제1투,437,678,34,1,7,1,1,0,3,0,0,1
서울특별시,성동구,,성수2가제1동제2투,593,906,35,0,12,1,1,1,2,1,1,2
서울특별시,성동구,,성수2가제1동제3투,399,668,32,2,11,0,0,1,1,0,0,0
서울특별시,성동구,,성수2가제1동제4투,499,709,39,1,5,1,0,0,1,0,0,0
서울특별시,성동구,,관내사전투표,1460,1487,76,1,12,1,1,0,0,3,0,2
서울특별시,성동구,,성수2가제3동제1투,530,704,46,1,11,0,0,1,1,1,0,1
서울특별시,성동구,,성수2가제3동제2투,513,1142,33,1,10,0,0,0,1,0,0,0
서울특별시,성동구,,성수2가제3동제3투,287,409,19,2,10,0,0,0,0,1,0,0
서울특별시,성동구,,관내사전투표,2763,2828,150,1,9,3,1,0,2,1,1,0
서울특별시,성동구,,왕십리도선동제1투,660,751,50,0,13,0,0,0,0,2,0,2
서울특별시,성동구,,왕십리도선동제2투,726,801,45,1,12,0,0,0,1,2,0,0
서울특별시,성동구,,왕십리도선동제3투,544,890,48,0,10,0,0,0,2,2,1,2
서울특별시,성동구,,왕십리도선동제4투,625,1152,47,1,6,1,1,0,0,1,0,0
서울특별시,성동구,,왕십리도선동제5투,559,1025,48,1,9,1,0,0,0,0,1,0
서울특별시,성동구,,왕십리도선동제6투,497,879,48,0,7,0,0,0,2,1,0,0
서울특별시,성동구,,관내사전투표,2432,1824,136,4,21,2,0,1,2,4,0,1
서울특별시,성동구,,왕십리제2동제1투,637,701,57,3,7,0,0,0,1,2,0,1
서울특별시,성동구,,왕십리제2동제2투,613,691,44,1,8,0,0,1,2,2,1,0
서울특별시,성동구,,왕십리제2동제3투,617,793,45,2,4,1,1,0,0,2,1,0
서울특별시,성동구,,왕십리제2동제4투,699,907,55,0,6,1,0,1,3,1,1,0
서울특별시,성동구,,관내사전투표,1958,2139,120,1,12,0,0,1,2,4,0,1
서울특별시,성동구,,행당제1동제1투,418,701,30,0,3,0,0,0,1,0,0,1
서울특별시,성동구,,행당제1동제2투,539,946,53,0,9,2,1,1,1,1,0,0
서울특별시,성동구,,행당제1동제3투,405,495,29,0,7,0,0,0,1,0,1,2
서울특별시,성동구,,행당제1동제4투,412,740,32,1,5,0,0,0,2,0,0,0
서울특별시,성동구,,관내사전투표,2618,2437,99,0,21,0,1,1,0,4,0,4
서울특별시,성동구,,행당제2동제1투,611,1068,67,2,7,1,0,1,1,0,0,1
서울특별시,성동구,,행당제2동제2투,582,765,49,2,9,0,0,1,0,3,0,0
서울특별시,성동구,,행당제2동제3투,740,887,56,4,10,0,0,1,0,2,0,0
서울특별시,성동구,,행당제2동제4투,585,1048,59,0,3,0,0,0,6,0,1,1
서울특별시,성동구,,행당제2동제5투,692,962,45,0,13,2,0,1,3,1,0,1
서울특별시,성동구,,관내사전투표,2493,2075,109,3,18,2,0,0,0,1,0,0
서울특별시,성동구,,마장동제1투,443,628,36,0,14,2,1,0,0,2,0,0
서울특별시,성동구,,마장동제2투,647,817,57,1,11,1,0,1,1,2,0,2
서울특별시,성동구,,마장동제3투,668,930,53,1,15,0,0,2,7,4,0,1
서울특별시,성동구,,마장동제4투,552,637,27,0,9,0,0,1,4,0,0,0
서울특별시,성동구,,마장동제5투,682,608,33,0,15,0,0,0,4,1,0,0
서울특별시,성동구,,마장동제6투,525,720,47,0,8,0,0,0,0,1,0,1
서울특별시,성동구,,관내사전투표,1183,1158,90,2,10,1,0,1,0,3,1,2
서울특별시,성동구,,사근동제1투,321,409,32,0,5,0,0,1,1,0,0,1
서울특별시,성동구,,사근동제2투,505,570,36,3,9,0,0,0,0,0,0,0
서울특별시,성동구,,사근동제3투,588,1023,54,4,14,0,0,2,0,1,0,0
서울특별시,성동구,,관내사전투표,1369,1041,57,2,4,0,0,0,1,2,0,1
서울특별시,성동구,,송정동제1투,544,583,31,3,9,0,0,0,2,0,0,0
서울특별시,성동구,,송정동제2투,478,559,37,1,8,0,0,0,2,1,1,0
서울특별시,성동구,,송정동제3투,490,593,34,2,10,1,0,0,1,0,1,0
서울특별시,성동구,,관내사전투표,1799,1143,57,2,11,2,0,0,0,0,1,2
서울특별시,성동구,,용답동제1투,635,712,44,1,8,0,0,0,0,0,0,0
서울특별시,성동구,,용답동제2투,528,602,29,0,7,0,0,0,3,3,0,1
서울특별시,성동구,,용답동제3투,431,549,32,1,6,1,0,1,1,2,1,0
서울특별시,광진구,,관내사전투표,2350,1580,108,1,21,2,2,0,0,1,0,2
서울특별시,광진구,,중곡제1동제1투,500,580,51,3,9,0,0,0,0,0,0,0
서울특별시,광진구,,중곡제1동제2투,589,644,47,0,18,0,2,0,0,1,0,0
서울특별시,광진구,,중곡제1동제3투,660,687,33,0,13,0,0,0,2,1,0,0
서울특별시,광진구,,중곡제1동제4투,518,572,37,0,8,1,0,0,1,0,1,0
